Term I,Term II,Frequency,in WordNet?
highlight,refresh,2,FALSE
retrieve,scan,2,FALSE
wrap,enter,2,FALSE
attempt,create,2,FALSE
put,take,2,FALSE
test,create,2,FALSE
apply,resurface,2,FALSE
fill,compute,2,FALSE
process,add,2,FALSE
modify,create,2,FALSE
control,delete,2,FALSE
mouse,contain,2,FALSE
let,compose,2,FALSE
set,display,2,FALSE
run,create,2,FALSE
match,run,2,FALSE
draw,render,2,FALSE
update,show,2,FALSE
customize,pop,2,FALSE
define,calculate,2,FALSE
get,build,2,FALSE
game,synchronize,2,FALSE
notify,board,2,FALSE
display,add,2,FALSE
init,add,2,FALSE
hide,launch,2,FALSE
send,put,2,FALSE
dispose,release,2,FALSE
ray,intersect,2,FALSE
open,get,2,FALSE
check,save,2,FALSE
insert,create,2,FALSE
assign,add,2,FALSE
run,listen,2,FALSE
control,import,2,FALSE
fill,read,2,FALSE
zoom,decrease,2,FALSE
select,focus,2,FALSE
simulate,right,2,FALSE
fill,refresh,2,FALSE
reproduce,convert,2,FALSE
please,calculate,2,FALSE
open,retrieve,2,FALSE
read,try,2,FALSE
search,select,2,FALSE
mouse,notify,2,FALSE
convert,bin,2,FALSE
show,mime,2,FALSE
set,end,2,FALSE
take,initialize,2,FALSE
register,registere,2,FALSE
reset,create,2,FALSE
skip,move,2,FALSE
process,close,2,FALSE
resolve,remove,2,FALSE
read,run,2,FALSE
duplicate,edit,2,FALSE
hand,select,2,FALSE
mirror,create,2,FALSE
display,confirm,2,FALSE
compile,do,2,FALSE
save,prompt,2,FALSE
vy,create,2,FALSE
make,refresh,2,FALSE
apply,export,2,FALSE
focus,shift,2,FALSE
update,delete,2,FALSE
toggle,show,2,FALSE
home,create,2,FALSE
single,verify,2,FALSE
upgrade,action,2,FALSE
index,search,2,FALSE
process,print,2,FALSE
clear,assume,2,FALSE
clear,deselect,2,FALSE
fill,add,2,FALSE
add,find,2,FALSE
load,parse,2,FALSE
read,create,2,FALSE
look,draw,2,FALSE
change,notify,2,FALSE
set,find,2,FALSE
get,resize,2,FALSE
open,handle,2,FALSE
require,go,2,FALSE
chop,cross,2,FALSE
parse,end,2,FALSE
process,change,2,FALSE
calculate,number,2,FALSE
change,show,2,FALSE
update,board,2,FALSE
base,match,2,FALSE
handle,upload,2,FALSE
start,block,2,FALSE
expand,manage,2,FALSE
wake,end,2,FALSE
forward,find,2,FALSE
update,check,2,FALSE
encode,read,2,FALSE
randomize,add,2,FALSE
scale,convert,2,FALSE
scale,normalize,2,FALSE
hook,handle,2,FALSE
cancel,do,2,FALSE
remove,deselect,2,FALSE
update,perceive,2,FALSE
load,prompt,2,FALSE
start,game,2,FALSE
contruct,create,2,FALSE
set,character,2,FALSE
send,consider,2,FALSE
add,push,2,FALSE
get,lookup,2,FALSE
start,compose,2,FALSE
display,make,2,FALSE
replace,add,2,FALSE
hold,determine,2,FALSE
search,lookup,2,FALSE
show,add,2,FALSE
ask,redraw,2,FALSE
manage,resize,2,FALSE
allow,do,2,FALSE
throw,load,2,FALSE
handle,insert,2,FALSE
subdivide,create,2,FALSE
source,add,2,FALSE
pop,load,2,FALSE
splits,segment,2,FALSE
clip,remove,2,FALSE
calculate,middle,2,FALSE
decode,convert,2,FALSE
calculate,print,2,FALSE
enable,paint,2,FALSE
populate,refresh,2,FALSE
zoom,increase,2,FALSE
handle,provide,2,FALSE
open,put,2,FALSE
open,read,2,FALSE
clear,draw,2,FALSE
neighbors,get,2,FALSE
update,apply,2,FALSE
remove,cut,2,FALSE
resplit,create,2,FALSE
shape,create,2,FALSE
stop,shut,2,FALSE
work,base,2,FALSE
write,parse,2,FALSE
destroy,set,2,FALSE
redefine,save,2,FALSE
bank,want,2,FALSE
delete,cut,2,FALSE
update,create,2,FALSE
resolve,make,2,FALSE
roll,begin,2,FALSE
connect,set,2,FALSE
forward,create,2,FALSE
contain,print,2,FALSE
get,angle,2,FALSE
instantiate,create,2,FALSE
attempt,read,2,FALSE
fill,create,2,FALSE
update,bind,2,FALSE
paint,render,2,FALSE
get,move,2,FALSE
force,halt,2,FALSE
pause,wait,2,FALSE
give,subdivide,2,FALSE
need,check,2,FALSE
update,remove,2,FALSE
finish,change,2,FALSE
clip,torso,2,FALSE
provide,read,2,FALSE
calculate,cross,2,FALSE
open,load,2,FALSE
allow,remove,2,FALSE
adjust,move,2,FALSE
select,selecte,2,FALSE
randomize,create,2,FALSE
apply,paint,2,FALSE
generate,do,2,FALSE
message,remove,2,FALSE
attempt,update,2,FALSE
decode,read,2,FALSE
draw,bevel,2,FALSE
buy,request,2,FALSE
avoid,assert,2,FALSE
update,compute,2,FALSE
please,initialize,2,FALSE
get,enumerate,2,FALSE
inform,will,2,FALSE
post,add,2,FALSE
destroy,handle,2,FALSE
exclude,add,2,FALSE
scale,multiply,2,FALSE
dom,note,2,FALSE
fetch,calculate,2,FALSE
assert,equal,2,FALSE
plan,place,2,FALSE
build,ignore,2,FALSE
reset,make,2,FALSE
allow,tag,2,FALSE
handle,fire,2,FALSE
prove,check,2,FALSE
los,fire,1,FALSE
flush,read,1,FALSE
debug,log,1,FALSE
consist,prepare,1,FALSE
enforce,end,1,FALSE
setup,init,1,FALSE
handle,attach,1,FALSE
align,sides,1,FALSE
recalculate,refresh,1,FALSE
shuffle,make,1,FALSE
reproduce,open,1,FALSE
underline,click,1,FALSE
model,run,1,FALSE
change,do,1,FALSE
fix,format,1,FALSE
replace,expand,1,FALSE
start,capture,1,FALSE
generate,run,1,FALSE
grab,frame,1,FALSE
get,TRUE,1,FALSE
remove,convert,1,FALSE
display,skin,1,FALSE
trace,convert,1,FALSE
reuse,make,1,FALSE
assign,load,1,FALSE
accept,drag,1,FALSE
attempt,open,1,FALSE
toggle,toogle,1,FALSE
remove,make,1,FALSE
stay,get,1,FALSE
simulate,do,1,FALSE
resolve,report,1,FALSE
stop,disconnect,1,FALSE
identify,create,1,FALSE
instanciate,create,1,FALSE
transform,assume,1,FALSE
delete,modify,1,FALSE
throw,wrong,1,FALSE
dry,post,1,FALSE
verify,tag,1,FALSE
replace,display,1,FALSE
save,file,1,FALSE
check,license,1,FALSE
update,display,1,FALSE
retrieve,load,1,FALSE
retrieve,wait,1,FALSE
start,retrieve,1,FALSE
send,flush,1,FALSE
repaint,invalidate,1,FALSE
remove,unregister,1,FALSE
verify,redirect,1,FALSE
remove,pop,1,FALSE
relay,fire,1,FALSE
specify,find,1,FALSE
rank,give,1,FALSE
select,make,1,FALSE
edit,do,1,FALSE
reconstitute,read,1,FALSE
vote,reset,1,FALSE
show,print,1,FALSE
risk,check,1,FALSE
check,start,1,FALSE
enable,pop,1,FALSE
strike,click,1,FALSE
check,search,1,FALSE
link,add,1,FALSE
cleanup,release,1,FALSE
plan,make,1,FALSE
invoke,reload,1,FALSE
simulate,press,1,FALSE
make,filter,1,FALSE
let,lay,1,FALSE
move,cards,1,FALSE
init,assume,1,FALSE
visit,create,1,FALSE
update,roll,1,FALSE
traverse,recurs,1,FALSE
fix,test,1,FALSE
process,note,1,FALSE
inform,delete,1,FALSE
check,visit,1,FALSE
provide,view,1,FALSE
cycle,reset,1,FALSE
paragraph,click,1,FALSE
abbreviate,string,1,FALSE
deduct,find,1,FALSE
clear,prepare,1,FALSE
get,do,1,FALSE
paste,insert,1,FALSE
read,perform,1,FALSE
get,download,1,FALSE
request,fire,1,FALSE
set,receive,1,FALSE
convert,run,1,FALSE
illuminate,resolve,1,FALSE
process,indicate,1,FALSE
submit,verify,1,FALSE
free,dispose,1,FALSE
trade,show,1,FALSE
immobilize,mark,1,FALSE
process,support,1,FALSE
rename,copy,1,FALSE
register,overcome,1,FALSE
parse,extract,1,FALSE
make,initialize,1,FALSE
hand,receive,1,FALSE
document,cause,1,FALSE
do,fire,1,FALSE
clip,create,1,FALSE
brace,find,1,FALSE
object,create,1,FALSE
update,action,1,FALSE
attempt,arrange,1,FALSE
execute,stack,1,FALSE
display,exit,1,FALSE
read,add,1,FALSE
ask,exit,1,FALSE
load,construct,1,FALSE
replace,update,1,FALSE
dispose,reset,1,FALSE
update,search,1,FALSE
extend,find,1,FALSE
load,find,1,FALSE
transform,start,1,FALSE
examine,copy,1,FALSE
transform,allow,1,FALSE
process,op,1,FALSE
inform,clone,1,FALSE
take,copy,1,FALSE
reset,add,1,FALSE
append,treat,1,FALSE
fit,ensure,1,FALSE
apply,reshape,1,FALSE
handle,log,1,FALSE
splits,mark,1,FALSE
fix,ensure,1,FALSE
update,ensure,1,FALSE
connect,add,1,FALSE
throw,bug,1,FALSE
check,run,1,FALSE
handle,go,1,FALSE
create,sheet,1,FALSE
reconstruct,read,1,FALSE
process,lower,1,FALSE
handle,play,1,FALSE
select,board,1,FALSE
foot,delete,1,FALSE
craft,get,1,FALSE
refactor,load,1,FALSE
initial,fill,1,FALSE
apply,make,1,FALSE
update,reapply,1,FALSE
catch,create,1,FALSE
generate,show,1,FALSE
detach,delete,1,FALSE
calculate,forces,1,FALSE
hide,splash,1,FALSE
reset,deselect,1,FALSE
reset,focus,1,FALSE
minimize,end,1,FALSE
align,create,1,FALSE
init,begin,1,FALSE
register,move,1,FALSE
open,verify,1,FALSE
build,initialize,1,FALSE
clear,clean,1,FALSE
process,remove,1,FALSE
put,prompt,1,FALSE
toggle,enable,1,FALSE
dump,write,1,FALSE
cancel,game,1,FALSE
report,show,1,FALSE
consider,init,1,FALSE
map,find,1,FALSE
force,interrupt,1,FALSE
find,pass,1,FALSE
apply,configure,1,FALSE
get,hash,1,FALSE
fire,consume,1,FALSE
optimize,start,1,FALSE
form,verify,1,FALSE
remove,removea,1,FALSE
detect,iterate,1,FALSE
grab,sort,1,FALSE
tear,close,1,FALSE
hash,track,1,FALSE
update,track,1,FALSE
inform,tool,1,FALSE
repaint,do,1,FALSE
predicate,parse,1,FALSE
analyze,find,1,FALSE
execute,handle,1,FALSE
do,out,1,FALSE
handle,let,1,FALSE
export,prompt,1,FALSE
update,initialize,1,FALSE
throw,interpret,1,FALSE
determine,create,1,FALSE
process,take,1,FALSE
append,dump,1,FALSE
check,row,1,FALSE
get,format,1,FALSE
enable,initialize,1,FALSE
reverse,do,1,FALSE
floor,produce,1,FALSE
handle,download,1,FALSE
finish,set,1,FALSE
need,load,1,FALSE
enablesdisable,enable,1,FALSE
rounds,include,1,FALSE
update,install,1,FALSE
send,reject,1,FALSE
process,step,1,FALSE
precompute,fill,1,FALSE
send,give,1,FALSE
catch,fire,1,FALSE
construct,add,1,FALSE
throw,insert,1,FALSE
run,collapse,1,FALSE
splash,display,1,FALSE
cache,build,1,FALSE
notify,upload,1,FALSE
explore,calculate,1,FALSE
document,verify,1,FALSE
calculate,determine,1,FALSE
assert,ready,1,FALSE
process,init,1,FALSE
retrieve,copy,1,FALSE
register,keep,1,FALSE
update,cause,1,FALSE
open,show,1,FALSE
fail,match,1,FALSE
add,contact,1,FALSE
open,search,1,FALSE
compare,make,1,FALSE
throw,write,1,FALSE
punch,reflect,1,FALSE
clear,even,1,FALSE
pop,discard,1,FALSE
get,space,1,FALSE
snip,remove,1,FALSE
attempt,give,1,FALSE
start,initialize,1,FALSE
update,receive,1,FALSE
output,log,1,FALSE
accommodate,find,1,FALSE
drop,create,1,FALSE
run,ready,1,FALSE
execute,start,1,FALSE
execute,send,1,FALSE
allow,change,1,FALSE
execute,import,1,FALSE
init,table,1,FALSE
hold,run,1,FALSE
open,assign,1,FALSE
process,command,1,FALSE
override,release,1,FALSE
resolve,stuff,1,FALSE
generate,display,1,FALSE
overload,close,1,FALSE
clean,close,1,FALSE
replace,get,1,FALSE
fill,ready,1,FALSE
initalize,init,1,FALSE
track,disconnect,1,FALSE
send,check,1,FALSE
save,give,1,FALSE
check,loop,1,FALSE
set,enable,1,FALSE
remove,notify,1,FALSE
store,prompt,1,FALSE
contain,assert,1,FALSE
clear,update,1,FALSE
normalize,merge,1,FALSE
action,show,1,FALSE
format,output,1,FALSE
populate,add,1,FALSE
get,task,1,FALSE
replace,overwrite,1,FALSE
work,post,1,FALSE
check,compile,1,FALSE
check,last,1,FALSE
document,convince,1,FALSE
reset,begin,1,FALSE
cancel,dismiss,1,FALSE
put,associate,1,FALSE
start,round,1,FALSE
process,extract,1,FALSE
calculate,learn,1,FALSE
open,indicate,1,FALSE
number,create,1,FALSE
handle,cancel,1,FALSE
debug,add,1,FALSE
apply,indent,1,FALSE
sync,run,1,FALSE
repaint,make,1,FALSE
assume,step,1,FALSE
complete,ignore,1,FALSE
apply,write,1,FALSE
warn,design,1,FALSE
base,add,1,FALSE
get,empty,1,FALSE
modify,reduce,1,FALSE
scale,change,1,FALSE
handle,loop,1,FALSE
goto,ask,1,FALSE
clear,throw,1,FALSE
apply,scale,1,FALSE
process,do,1,FALSE
get,write,1,FALSE
query,select,1,FALSE
start,parse,1,FALSE
stay,goto,1,FALSE
rescale,set,1,FALSE
support,print,1,FALSE
deliver,create,1,FALSE
optimize,eliminate,1,FALSE
retore,restore,1,FALSE
export,cause,1,FALSE
enable,ensure,1,FALSE
transform,distort,1,FALSE
handle,reset,1,FALSE
verify,escape,1,FALSE
obtain,default,1,FALSE
undo,go,1,FALSE
control,distribute,1,FALSE
stay,remove,1,FALSE
apply,trust,1,FALSE
trim,treat,1,FALSE
frame,adjust,1,FALSE
wake,tell,1,FALSE
adjust,do,1,FALSE
init,load,1,FALSE
indent,run,1,FALSE
compute,cube,1,FALSE
encrypt,add,1,FALSE
set,ensure,1,FALSE
help,init,1,FALSE
update,restore,1,FALSE
remove,verify,1,FALSE
put,interpret,1,FALSE
allow,receive,1,FALSE
determine,parse,1,FALSE
encapsulate,create,1,FALSE
transform,camelize,1,FALSE
assume,copy,1,FALSE
update,force,1,FALSE
regenerate,rebuild,1,FALSE
invoke,run,1,FALSE
verify,design,1,FALSE
remove,parse,1,FALSE
drift,smoke,1,FALSE
char,convert,1,FALSE
center,click,1,FALSE
append,make,1,FALSE
endisable,initial,1,FALSE
attempt,start,1,FALSE
revert,set,1,FALSE
fit,read,1,FALSE
disable,assume,1,FALSE
write,locate,1,FALSE
restore,focus,1,FALSE
unfold,display,1,FALSE
reset,go,1,FALSE
is,check,1,FALSE
update,cycle,1,FALSE
decode,unescape,1,FALSE
foot,create,1,FALSE
disable,ensure,1,FALSE
distinguish,highlight,1,FALSE
start,action,1,FALSE
splits,resplit,1,FALSE
unlink,reload,1,FALSE
apply,remove,1,FALSE
save,push,1,FALSE
normalize,round,1,FALSE
control,toggle,1,FALSE
direct,replicate,1,FALSE
damage,inflict,1,FALSE
extend,move,1,FALSE
expire,run,1,FALSE
open,follow,1,FALSE
compute,find,1,FALSE
display,build,1,FALSE
configure,create,1,FALSE
load,ensure,1,FALSE
download,null,1,FALSE
throw,cause,1,FALSE
finish,require,1,FALSE
get,clicks,1,FALSE
string,create,1,FALSE
add,receive,1,FALSE
load,board,1,FALSE
load,locate,1,FALSE
convert,line,1,FALSE
clear,run,1,FALSE
stall,do,1,FALSE
result,allow,1,FALSE
control,split,1,FALSE
recieve,receive,1,FALSE
allow,fix,1,FALSE
verify,fire,1,FALSE
contain,load,1,FALSE
hide,display,1,FALSE
accept,synchronize,1,FALSE
reset,download,1,FALSE
notify,end,1,FALSE
view,create,1,FALSE
remove,collect,1,FALSE
generate,report,1,FALSE
define,allow,1,FALSE
read,locate,1,FALSE
undo,verify,1,FALSE
findclass,find,1,FALSE
dispose,notify,1,FALSE
gather,load,1,FALSE
splits,subdivide,1,FALSE
rerender,render,1,FALSE
paint,add,1,FALSE
base,visit,1,FALSE
split,mark,1,FALSE
calculate,init,1,FALSE
target,jump,1,FALSE
sync,change,1,FALSE
connect,create,1,FALSE
enable,construct,1,FALSE
run,refresh,1,FALSE
check,receive,1,FALSE
free,end,1,FALSE
means,visit,1,FALSE
replace,take,1,FALSE
allow,select,1,FALSE
construct,note,1,FALSE
execute,find,1,FALSE
resolve,keep,1,FALSE
transform,digest,1,FALSE
init,script,1,FALSE
replace,escape,1,FALSE
track,modify,1,FALSE
receive,filter,1,FALSE
tear,ensure,1,FALSE
download,add,1,FALSE
update,select,1,FALSE
explode,do,1,FALSE
paint,protect,1,FALSE
post,convert,1,FALSE
generate,tell,1,FALSE
put,store,1,FALSE
attempt,paste,1,FALSE
take,create,1,FALSE
get,check,1,FALSE
roll,handle,1,FALSE
calculate,swap,1,FALSE
sum,compute,1,FALSE
finish,import,1,FALSE
cancel,discard,1,FALSE
hide,add,1,FALSE
let,do,1,FALSE
start,load,1,FALSE
build,try,1,FALSE
handle,vote,1,FALSE
expand,expands,1,FALSE
start,choose,1,FALSE
provide,edit,1,FALSE
check,show,1,FALSE
generate,take,1,FALSE
contain,find,1,FALSE
class,ensure,1,FALSE
pad,generate,1,FALSE
update,equal,1,FALSE
destroy,close,1,FALSE
repar,find,1,FALSE
install,invoke,1,FALSE
send,report,1,FALSE
post,burn,1,FALSE
discard,choose,1,FALSE
destroy,release,1,FALSE
intersect,find,1,FALSE
indicate,choose,1,FALSE
stop,assume,1,FALSE
control,sort,1,FALSE
maintain,deploy,1,FALSE
process,load,1,FALSE
switch,add,1,FALSE
update,weight,1,FALSE
update,include,1,FALSE
select,bring,1,FALSE
record,store,1,FALSE
scale,create,1,FALSE
evaluate,read,1,FALSE
handle,perform,1,FALSE
impose,insert,1,FALSE
complete,filter,1,FALSE
stop,trade,1,FALSE
display,create,1,FALSE
allow,drift,1,FALSE
replace,make,1,FALSE
arrange,create,1,FALSE
select,request,1,FALSE
define,search,1,FALSE
update,repaint,1,FALSE
goto,move,1,FALSE
click,reset,1,FALSE
check,adjust,1,FALSE
examine,shape,1,FALSE
remove,aim,1,FALSE
attempt,add,1,FALSE
is,mark,1,FALSE
poke,move,1,FALSE
append,interpret,1,FALSE
allow,observe,1,FALSE
means,choose,1,FALSE
traverse,visit,1,FALSE
record,start,1,FALSE
clear,show,1,FALSE
pad,make,1,FALSE
instruct,delete,1,FALSE
post,print,1,FALSE
start,change,1,FALSE
replace,clone,1,FALSE
flush,skip,1,FALSE
task,convert,1,FALSE
track,compute,1,FALSE
face,select,1,FALSE
encode,get,1,FALSE
record,finish,1,FALSE
involve,create,1,FALSE
disable,create,1,FALSE
throw,print,1,FALSE
set,extend,1,FALSE
activate,dump,1,FALSE
install,note,1,FALSE
populate,read,1,FALSE
init,part,1,FALSE
import,show,1,FALSE
solve,add,1,FALSE
install,make,1,FALSE
pace,map,1,FALSE
remove,contact,1,FALSE
correct,make,1,FALSE
convert,concat,1,FALSE
enable,assume,1,FALSE
hold,indicate,1,FALSE
convert,move,1,FALSE
refer,read,1,FALSE
give,restrict,1,FALSE
put,write,1,FALSE
define,line,1,FALSE
tell,upload,1,FALSE
add,ready,1,FALSE
paint,print,1,FALSE
save,dispose,1,FALSE
create,unbox,1,FALSE
hide,run,1,FALSE
look,create,1,FALSE
stop,delete,1,FALSE
test,notify,1,FALSE
throw,read,1,FALSE
form,reset,1,FALSE
free,close,1,FALSE
rotate,change,1,FALSE
layout,line,1,FALSE
destroy,network,1,FALSE
complete,te,1,FALSE
minimize,prepare,1,FALSE
post,flood,1,FALSE
check,line,1,FALSE
pait,paint,1,FALSE
encode,escape,1,FALSE
update,reread,1,FALSE
rename,do,1,FALSE
leave,do,1,FALSE
process,zoom,1,FALSE
assume,find,1,FALSE
calculate,log,1,FALSE
click,span,1,FALSE
rebuild,add,1,FALSE
add,shift,1,FALSE
provide,quit,1,FALSE
sit,send,1,FALSE
do,run,1,FALSE
web,construct,1,FALSE
describe,init,1,FALSE
characterize,simplify,1,FALSE
file,add,1,FALSE
define,provide,1,FALSE
come,filter,1,FALSE
realize,start,1,FALSE
build,find,1,FALSE
blend,find,1,FALSE
retrieve,initialize,1,FALSE
verify,create,1,FALSE
redo,go,1,FALSE
write,log,1,FALSE
take,init,1,FALSE
